patent_number,patent_title,patent_abstract,patent_date,patent_type
10536268,Passive decryption on encrypted traffic to generate more accurate machine learning training data,"In one embodiment, an apparatus captures a memory dump of a device in a sandbox environment executing a malware sample. The apparatus identifies a cryptographic key based on a particular data structure in the captured memory dump. The apparatus uses the identified cryptographic key to decrypt encrypted traffic sent by the device. The apparatus labels at least a portion of the decrypted traffic sent by the device as benign. The apparatus trains a machine learning-based traffic classifier based on the at least a portion of the decrypted traffic sent by the device and labeled as benign.",2020-01-14,utility
10536274,Cryptographic protection for trusted operating systems,"This disclosure is directed to cryptographic protection for trusted operating systems. In general, a device may comprise for example, at least processing circuitry and memory circuitry. The device may be virtualized in that the processing circuitry may load virtual machines (VMs) and a virtual machine manager (VMM) into the memory circuitry during operation. At least one of the VMs may operate as a trusted execution environment (TEE) including a trusted operating system (TOS). The processing circuitry may comprise encryption circuitry to cryptographically protect the TOS. For example, the VMM may determine a first memory range in which the TOS will be loaded and store data regarding the first memory range in a register within the encryption circuitry. The register configures the encryption circuitry to cryptographically protect the TOS.",2020-01-14,utility
10536282,Operating system supporting cost aware applications,"A mobile computing device that supports cost-aware application components for operation over a metered network. A current basis for computing usage charges over one or more networks may be made available to the cost-aware application components through an application programming interface supported by an operating system service. That service may receive a policy for charging for data usage over a network and may also obtain information defining data usage for the mobile computing device. Based on this information, the service may determine a current basis for charging for data usage. With this information, the application component can determine a manner for executing network operations that involve data transmission over the network, such as deferring the operation or selecting an alternative network.",2020-01-14,utility
10536285,Multicast join message processing by multi-homing devices in an ethernet VPN,"In some examples, a method includes receiving, by a first provider edge (PE) device of a layer 3 network, configuration data configuring the PE device to provide, via an Ethernet segment with an edge device, active-active multi-homing layer 2 (L2) virtual bridge connectivity to the edge device using an Ethernet Virtual Private Network (EVPN) instance; receiving, by the first PE device, a multicast Join message for multicast traffic, the multicast Join message identifying a second PE device that also participates in the EVPN instance; processing, by the first PE device, the multicast Join message to generate multicast forwarding state; and forwarding, by the first PE device based at least on the multicast forwarding state, the multicast traffic.",2020-01-14,utility
10536290,"Data transmission system, management device, non-transitory recording medium recording data transmission program, and data transmission method","A management device that transmits data to a plurality of terminal devices by way of communication relay devices on a connected communication network and controls the plurality of terminal devices includes a transmission data storage section and a communication control section. The transmission data storage section stores transmission data. The communication control section controls communication with the terminal devices. The communication control section issues start notification of data transmission in one-to-one communication to each terminal device that is a transmission target of the terminal devices, and receives a response from the terminal device in response to the start notification, starts transmission of the transmission data in one-to-multiple communication after the start notification, and issues, after completion of the transmission of the transmission data, a transmission request of a reception status of the transmission data in one-to-one communication to a terminal device that has responded to the start notification.",2020-01-14,utility
10536295,Control infrastructure,"In an embodiment, the infrastructure comprises a script execution module that comprises a compiler that compiles scripts, having instructions that reference device properties, into virtual-machine programs, a virtual machine that executes virtual-machine programs, and a script manager that stores scripts, retrieves scripts, and loads scripts into the compiler. In addition, the infrastructure may comprise gateway(s), communicatively connected to physical device(s). The gateway(s) may each comprise processor(s), driver(s) that each communicate with at least one physical device using a communication protocol to read and/or write device properties of the physical device, and a device manager that maps device properties referenced in the virtual-machine programs to device properties used by the driver(s).",2020-01-14,utility
10536296,Multi-bridge LAN aggregation,A method and system for multi-bridge LAN aggregation is disclosed. The method includes aggregating a plurality of LANs coupling a host to a first and a second intermediate network device. The system includes an intermediate network device. The intermediate network device includes a multi-bridge engine. The multi-bridge engine includes a tunnel engine coupled to a bridge interconnect port and a first physical port.,2020-01-14,utility
10536297,Indirect VXLAN bridging,"A method for transmitting MAC frames between hosts/remote machines and virtual machines across network elements (e.g., switches, routers, and multilayer switches) that conventionally do not hold capacity to address VXLAN encapsulation to any and all possible destination VTEPs within expanding data centers. More specifically, the method permits a network element the functionality of retaining VXLAN encapsulation table entries corresponding to VTEPs on Top of Rack (ToR) switches versus to VTEPs on hosts that reside under those ToR switches. This use of indirect VXLAN bridging may reduce the number of required VTEPs stored on a network element for the purposes of performing VXLAN encapsulation, thereby once again establishing the capability for packets to reach any arbitrary destination VTEP as data centers scale.",2020-01-14,utility
10536314,OFDMA apparatus and method thereof for performing OFDM based communication in wireless communication system,"Embodiments herein provide an OFDMA method for performing OFDM based communication in a wireless communication system. The OFDMA method includes splitting a carrier bandwidth into a number of subbands and modulating resource units in each of the subbands with data symbols in a parallel manner. Further, multiplexing the resource units by transforming each of the modulated resource units through a plurality of unitary transformations at a stage. Further, generating an output by performing a parallel to serial conversion of the transformed resource units. Further, the OFDMA method includes generating an OFDM signal by multiplexing an output from at least one of the previous stage to another stage by transforming the output through a unitary transformation for a defined number of times. Furthermore, the OFDMA method includes transmitting the OFDM signal over a wireless channel in the wireless network system.",2020-01-14,utility
10536322,Resource management for services,"A service control manager manages one or more services on a computing device, such as creating processes that host the services, stopping the processes that host the services, and so forth. The service control manager also provides a request to a resource manager to reserve, monitor, and/or place limitations on resources for each of the one or more services. For example, the service control manager can request to be notified when resource usage by a service exceeds a resource usage threshold value. These resources are various resources of the computing device, such as a processor (CPU), memory, storage device input/output (I/O), network usage, and so forth. If the usage of a resource by a service satisfies the resource usage threshold value for that resource for that service, then the resource manager notifies the service control manager so the service control manager can take an appropriate remedial action.",2020-01-14,utility
10536323,On-demand fault reduction framework,"A computer-implemented method for correlating alarms that are generated with relation to a computer network is disclosed. The alarms represent faults of the computer network and/or faults of components of the computer network. The computer-implemented method comprises: displaying, on a display device, a graphical user interface that allows a user to select a type of correlation between one or more alarms and a type of fault which causes the one or more alarms from among a plurality of types of correlation; receiving, via the graphical user interface, a user input indicating the type of correlation selected by the user; storing, in a database, at least one rule based on the selected correlation; receiving, by a server, a plurality of alarms generated with relation to the computer network; correlating, by a correlation engine, the plurality of alarms received by the server according to the at least one rule stored in the database to identify a fault which has caused the one or more alarms; and displaying, on the display device, the at least one identified fault.",2020-01-14,utility
10536324,Per-prefix LFA FRR with bit indexed explicit replication,"Methods, devices and program instructions are disclosed for performing bit indexed explicit replication (BIER) including fast reroute capability. One embodiment of a method includes receiving, from an egress node of a BIER network, an advertisement at a forwarding node, where the advertisement identifies a mapping of the egress node to a bit position of a packet bit string to be carried by a packet through the network. The embodiment further includes generating or updating a primary entry for the egress node in a bit indexed routing table (BIRT) for the forwarding node, and determining whether a backup entry for the egress node is to be included in the BIRT. In response to a determination that a backup entry is to be included, the embodiment further includes generating or updating the backup entry in the BIRT.",2020-01-14,utility
10536325,System and method for efficient network reconfiguration in fat-trees,"Systems and methods are provided for supporting efficient reconfiguration of an interconnection network having a pre-existing routing. An exemplary method can provide a plurality of switches, a plurality of end nodes, and one or more subnet managers, including a master subnet manager. The method can calculate, via the master subnet manager, a first set of one or more leaf-switch to leaf-switch multipaths. The method can store this first set of one or more leaf-switch to leaf-switch multipaths at a metabase. The method can detect a reconfiguration triggering event, and call a new routing for the interconnection network. Finally, the method can reconfigure the network according to the new routing for the interconnection network.",2020-01-14,utility
10536326,Network redundancy and failure detection,"Method of and systems for network redundancy and failure detection are disclosed. A method of assigning runtime states to nodes in a network includes transmitting initial route metric values associated with IP addresses of mobile network nodes to a router system, the relative magnitudes of the metric values being based on primary or secondary node status and active or standby runtime states. The method also includes transmitting packet(s) from one or more mobile network nodes to the router system destined for a server and one or more mobile network nodes receiving a response to the packet transmission via the router system from the server. In response to receiving the response to the transmissions, the one or more mobile network nodes setting subsequent route metric values having a reversed relative magnitude relationship to that of the initial route metric values.",2020-01-14,utility
10536330,Highly dynamic authorisation of concurrent usage of separated controllers,"Methods and apparatuses are provided by which control in a virtual network is performed, in which resources of a network are modeled, wherein a network element is configured to be controlled by a first application control element, the method comprising establishing control information indicating at least one second application control element which is to be enabled to configure and/or control the network element, and sending the control information to a network control element. This network control element forwards the configuration information to a network element controller controlling the network element to accept configuration messages from the second application control element.",2020-01-14,utility
10536333,"Radio node, wireless device, and methods therein for configuring the wireless device","Method in a radio node for configuring a wireless device. The radio node and the wireless device operate in a wireless communications network. The radio node configures the wireless device with a plurality of Physical Uplink Control Channel, PUCCH, resource units. The plurality of PUCCH resource units is associated with a number of downlink, DL, aggregated carriers.",2020-01-14,utility
10536335,Method for managing configuration of a network element and a network element,"A network element includes control entities (102, 103) and controllable entities (104-105) such as line interface units. The control entities configure the controllable entities to enable the network element to operate in a data transfer network. Each control entity maintains a configuration data-set in accordance with configuration information based on data received from the data transfer network and transmits the configuration data-set to one or more controllable entities. The control entity applies a configuration rule on the configuration information and updates the configuration data-set on the basis of the result of the configuration rule. The configuration rule is stateless so that its result is independent of earlier results of the configuration rule and of earlier configuration information. The control entities are enabled to keep their configuration data-sets nearly congruent with each other because they use the same configuration information and the same stateless configuration rule.",2020-01-14,utility
10536337,Validation of layer 2 interface and VLAN in a networked environment,"Disclosed are systems, methods, and computer-readable media for assuring tenant forwarding in a network environment. Network assurance can be determined in layer 1, layer 2 and layer 3 of the networked environment including, internal-internal (e.g., inter-fabric) forwarding and internal-external (e.g., outside the fabric) forwarding in the networked environment. The network assurance can be performed using logical configurations, software configurations and/or hardware configurations.",2020-01-14,utility
10536338,Networking connection resolution assistant,"Embodiments for automated accommodation of network configuration settings by a processor. A network connection request is detected. A learned, preexisting network configuration setting corresponding to the network connection request is matched to the network connection request. The network connection is established via the preexisting network configuration setting.",2020-01-14,utility
10536339,Systems and methods for system configuration for communication network devices,"Aspects of the present disclosure describe systems and methods for automatically configuring, managing, updating, and/or monitoring the configuration of various computing devices and/or network devices within a communications network, such as a telecommunications network. Basic input/output setting configurations for a network devices and/or cluster of network devices may be extracted from a template. Subsequently, a module may be identified and executed to configure the cluster based on configuration parameters defined within the template.",2020-01-14,utility
10536340,Spread placement groups,"A provider network determines which servers to use to host a group of virtual machines for a customer. A placement manager within the provider network employs a placement technique which prioritizes spreading virtual machines for the customer across different “subzones.” A subzone is a logical division of a provider network's hardware and/or software denoting risk boundaries. By placing virtual machines in separate subzones, the customer's virtual machines and thus the task collectively performed by the virtual machines are less impacted by a failure within one of the subzones.",2020-01-14,utility
10536341,Fog-based service function chaining,"A fog controller is operable to communicate with fog nodes associated with a plurality of special purpose network connected devices. The fog controller receives, from each of a plurality of the fog nodes, an indication of one or more processing capabilities of the respective fog node. Based on the processing capabilities, the fog controller creates a fog-based service function chain that includes a set of the plurality of fog nodes. The fog controller instantiates the fog-based service function chain at the set of the plurality of fog nodes.",2020-01-14,utility
10536342,Network estimation,This disclosure relates to systems and methods for searching names using name clusters. A method includes training a supervised machine learning system to learn a connection strength between a member and peers of the member; clustering the member with the peers in response to a threshold number of profile similarities between the member and the peers and the connection strength between the member and the peers being above a connection strength threshold value; and applying an unsupervised machine learning system using output from the supervised machine learning system and the clustering to generate a connection between the member and at least one of the peers.,2020-01-14,utility
10536344,Privacy-aware model generation for hybrid machine learning systems,"In one embodiment, a network assurance service executing in a local network clusters measurements obtained from the local network regarding a plurality of devices in the local network into measurement clusters. The network assurance service computes aggregated metrics for each of the measurement clusters. The network assurance service sends a machine learning model computation request to a remote service outside of the local network that includes the aggregated metrics for each of the measurement clusters. The remote service uses the aggregated metrics to train a machine learning-based model to analyze the local network. The network assurance service receives the trained machine learning-based model to analyze performance of the local network. The network assurance service uses the receive machine learning-based model to analyze performance of the local network.",2020-01-14,utility
10536345,Auto-prioritization of device traffic across local network,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for prioritizing network traffic. In one aspect, a method includes collecting, for local networks, traffic data representing communication traffic over the local network for a period of time; determining, for each of the network devices included in the networks, a device type of the network device and at least one device priority value for the network device; training a device prioritization model, using the traffic data and the device priority values of the devices, receiving, by the device prioritization model, for a local network, a list of network devices that are included in the local network; and generating, by the device prioritization model, a prioritization scheme for the local network that prioritizes device traffic among the network devices based on the device types and device priority values of the network devices.",2020-01-14,utility
10536347,Mechanism for fault diagnosis and recovery of network service chains,"A computer-implemented method is provided for fault diagnostics and recovery of network service chains. The method includes discovering, by a processor, a network graph representative of components of the network service chains. The method further includes identifying, by the processor, intersecting ones of the components of the network service chains in the network graph. The method also includes repairing, by the processor, one or more of the components of at least one of the network service chains based on a component repair sequence that maintains service continuity of the network service chains and that is determined based on a commonality.",2020-01-14,utility
10536350,Method for determining feature utilization in a software-defined network,"In a computer-implemented method for determining feature utilization in a software-defined network, an available feature set for the software-defined network is determined, wherein the available feature set is based on a version of the software-defined network. Features enabled on the software-defined network are determined. The features enabled in the software-defined network are compared to the available feature set. A network profile score is generated based on the comparing, where the network profile score includes constituent feature scores for features of the available feature set. The network profile score is presented in a graphical user interface, the network profile score providing an indication of feature utilization of the available feature set, where the graphical user interface allows for receiving a user interaction for presenting the constituent feature scores for the features of the available feature set responsive to the user interaction.",2020-01-14,utility
10536351,Analytics for edge devices,"Disclosed is a technique that can be performed by an electronic device. The technique can include generating timestamped events, where the timestamped events include raw data generated by electronic device. The technique can further include obtaining results by performing a operation on the timestamped events, in accordance with instructions. The technique can further include sending the results or indicia thereof over a network to a server computer system, and receiving back new instructions generated by the server computer system based on the sent results. Lastly, the technique can include performing a new operation on timestamped events including raw data generated based by the electronic device, where the new operation can be performed in accordance with the new instructions to obtain new results.",2020-01-14,utility
10536357,Late data detection in data center,"Systems, methods, and non-transitory computer-readable storage media for synchronizing timestamps of a sensor report to the clock of a device. In one embodiment, the device receives a report from a sensor of a node. The report can include a network activity of the node captured by the sensor and a first timestamp relative to the clock of the node. The device can then determine a second timestamp relative to the clock of the collector indicating receipt of the report by the device and from the sensor at the node. The device can also determine a delta between the first timestamp and the second timestamp, and a communication latency associated with a communication channel between the device and the sensor. Next, the device can adjust the delta based on the communication latency, and generate a third timestamp based on the adjusted delta.",2020-01-14,utility
10536358,Methods and apparatus for estimating total unique audiences,"Methods and apparatus for determining a unique audience exposed to media while reducing memory resources of a computing device are disclosed herein. Example instructions cause a machine to at least, based on impression requests from a plurality of client devices via a network, log a plurality of impressions corresponding to media accessed at the client devices; obtain a count of demographic impressions logged by a database proprietor; obtain a count of registered users of the database proprietor exposed to the media; and execute a process to determine a unique audience size by multiplying a count of the plurality of impressions by a square of the count of the registered users to generate a product; dividing the product by the count of the demographic impressions to generate a quotient; and determining the unique audience size based on a square root of the quotient.",2020-01-14,utility
10536360,Counters for large flow detection,"Provided are systems and methods for managing historically large flows in network visibility monitoring. In some implementations, provided is an integrated circuit. The integrated circuit may be operable to receive packet information describing a packet at the cycle of a clock input. The packet may be associated with a packet flow being transmitted across a network. The integrated circuit may further generate keys using information identifying a packet flow provided by the packet information. The integrated circuit may further read values for counters and state information associated with each counter from a memory, using the keys. The integrated circuit may further determine from the state information that the packet flow identified by the packet information is a historically large packet flow. Upon determining that the packet flow is a historically large packet flow, the integrated circuit may further update an entry in a flow memory using the packet information.",2020-01-14,utility
10536366,Methods and apparatus for controlling and making link bundle advertisements to support routing decisions,"Methods and apparatus relating to the use of aggregated links, e.g., links in a bundle, are described. A normal link metric and a limited operation mode link metric a determined for a link bundle, the normal link metric having a lower value than the limited operational mode link metric. The status of links in a link bundle are monitored. Based on the number of currently operational links in a link bundle and a switching threshold, a decision is made whether to advertise the normal link metric, advertise the limited operation mode threshold or refrain from advertising any link metric. The use of the limited operation link metric facilitates the use of a partially failed link bundle providing an alternative routing path in the network that would not otherwise be available.",2020-01-14,utility
10536368,Network-aware routing in information centric networking,"The present disclosure includes a method of routing packets. The method may include receiving, at a network device, an interest packet that requests content from an ICN network, where the network device is configured to communicate in the ICN network via one or more paths in an address-routing network. In the method, the ICN network may be overlaid on one or more network devices communicating in the address-routing network. The method may additionally include determining, between a first and second alternative path, a routing path of where to route the interest packet based on network costs associated with obtaining the content along each of the first and the second alternative paths through the address-routing network. The method may also include sending the interest packet along the routing path.",2020-01-14,utility
10536370,Method and system to avoid temporary traffic loss with BGP ethernet VPN multi-homing with data-plane MAC address learning,"Embodiments are directed to a process and system for recovering from data link failure in a network, by retaining, in a first provider edge device, path information for a first host coupled to a second host over the network in a control plane, upon indication of withdrawal of the first host from a second provider edge device, starting a timer controlling a period of re-advertisement and re-routing to the first host, removing, in the first provider edge device, the first host from a data plane, and generating, in the first provider edge device, a new route to advertise the first host address to cause other provider edge devices to receive the new route and adjust their respective control plane routes prior to expiration of the timer.",2020-01-14,utility
10536371,Observation platform for using structured communications with cloud computing,"In a method of using structured communications in an observation platform with cloud computing, a signal from a first communication device is received by a second communication device associated with a first computer system. The second computer system forwards the signal from the first computer system to a second computer system, wherein the second computer system is physically remote from the first computer system and connected with the first computer system via a network. The second computer system derives context information for the signal, the deriving based on a plurality of factors derived from an analysis of the signal, wherein the plurality of factors comprises a speech to text analysis of the signal, and wherein the second computer system is cloud based. The second computer system determines at least one destination for the signal based on the plurality of factors for the context information.",2020-01-14,utility
10536373,Session aggregator brokering of data stream communication,"A system for proving secure streamed data sessions is disclosed. The system comprises a first computer system executing an orchestrator virtualized network function (VNF). The orchestrator VNF collects performance metrics on routers, receives a request for a secure streamed data session, analyzes the metrics based on the request, determines a secure routing path, creates a routing instruction set that defines the secure routing path, and transmits the routing instruction set to a session aggregator. The system further comprises a second computer system that executes the session aggregator in a trusted security zone. The session aggregator establishes trusted end-to-end communication links with a first edge router, a second edge router, and at least one of the plurality of routers and configures the routing instruction set into each of the CPE node, the first edge router, the second edge router, and the at least one router via the trusted end-to-end communication link.",2020-01-14,utility
10536375,Individual network device forwarding plane reset,"In one example, a method includes detecting, by a forwarding manager for an internal forwarding path executed by at least one packet processor of a forwarding unit of a network device, that the at least one packet processor of a plurality of packet processors has become available for processing packets for forwarding; in response to the detecting, ceasing, by the forwarding manager, execution of control processing operations received from a control unit of the network device; and programming, by the forwarding manager, a plurality of forwarding path elements of the at least one packet processor based on a dependencies data structure, wherein the dependencies data structure comprises one or more dependencies that each indicates, for a node of a plurality of nodes, one or more nodes that reference the node, and wherein each node of the plurality of nodes corresponds to a single forwarding path element of the plurality of forwarding path elements.",2020-01-14,utility
10536379,System and method for control traffic reduction between SDN controller and switch,"A novel technique is shown for throttling control traffic in a Software Defined Network (SDN) between a controller and network switches when the controller and/or one or more control channels are congested. In this technique, the controller's processing power and the limited control channel bandwidth are more efficiently managed by drastically cutting down the control traffic during times of congestion.",2020-01-14,utility
10536380,Method and system for intelligent link load balancing,"This disclosure relates to method and system for intelligent link load balancing. In one embodiment, a method for performing intelligent link load balancing in a computer network including a number of network service providers (NSPs) is disclosed. The method includes monitoring ongoing network traffic transaction data of the computer network, predicting a current network latency level for the ongoing network traffic transaction data for each of the NSPs based on a relationship between a network latency level and network traffic transaction data for each of the NSPs, determining an optimal NSP to route ongoing network traffic based on an analysis of the current network latency level of each of the NSPs, and effecting routing of the ongoing network traffic through the optimal NSP. The relationship is learnt based on an analysis of historical network latency level and historical network traffic transaction data for each of the NSPs.",2020-01-14,utility
10536381,Determining connections of a network between source and target nodes in a database,"In an embodiment of the invention, a system determines connections between source and target nodes in a network by determining edges with common nodes between the source and target nodes within the network for each of one or more hops. Each determined edge links a pair of nodes in a network path between the source and target nodes. The system removes certain edges from the determined edges to produce a resulting set of edges. In particular, each removed edge is an edge that includes a node within a loop in the network or is an edge that is unconnected to another edge. The system determines connections between the source and target nodes based on the resulting set of edges. Embodiments of the present invention further include a method and computer program product for determining connections between source and target nodes in a network in substantially the same manners described above.",2020-01-14,utility
10536382,Data flow control for dual ended transmission control protocol performance enhancement proxies,"Systems, methods, and servers for controlling data flow across a computer network having a first performance enhancing proxy device (PEP1) between a client-facing segment of the network and a second PEP device (PEP2) on a server-facing segment of the network. PEP2 has a receiver for receiving flow control information from across a control channel between PEP1 and PEP2, for each TCP connection on the client-facing segment. The information includes round-trip packet latency (Li) on the client-facing segment and transmit buffer congestion information of PEP1. PEP2 has a determiner for determining if a TCP connection has a congested packet flow; and a congestion reliever for relieving such congestion by synchronizing a receive buffer of the PEP2 to be the same size as a transmit buffer congestion window of the PEP1; and delaying acknowledgments (ACKs) at PEP2 by a time Tack based on a preset threshold level Tlim or Li.",2020-01-14,utility
10536383,Attribute enhancement for handling network packet traffic between micro segmented guests,"The technology disclosed herein enables the enhancement of attributes used to identify network packet traffic exchanged with micro segmented guests. In a particular embodiment, a method provides receiving a plurality of attributes from a user. The plurality of attributes describes first network packet traffic that should be handled in a first manner. The method further provides processing network packet traffic to identify the first network packet traffic using the plurality of attributes. While processing the network packet traffic, the method provides identifying one or more additional attributes shared among the first network packet traffic and adding at least a portion of the one or more additional attributes to the plurality of attributes.",2020-01-14,utility
10536384,Enhancing capacity of a direct communication link,Capacity enhancement of a direct communication link using a variable redundancy delivery network. An estimated information rate between a source node and a terminal node may be partitioned into a first information rate provided via the direct communication link and a second information rate to be provided via the variable redundancy delivery network. One or more parameters of the variable redundancy delivery network may be calculated to provide the second information rate based on a non-uniform probability density of messages requested by the terminal node. Capacity and reliability of storage media devices in the variable redundancy delivery network may be traded off to provide the second information rate. The variable redundancy delivery network may implement various coding schemes and per-message coding rates that may be determined based on the non-uniform probability distribution of the source message library.,2020-01-14,utility
10536388,Apparatus for scheduling contention-based data transfer and method thereof,"Provided are an apparatus and a method for scheduling contention-based data transmission in a network system including an access point (AP) and a plurality of terminals. The method includes determining a contention window (CW) size based on the number of terminals connected to the access point, and transmitting information about the contention window size to any one of the plurality of terminals. The apparatus includes a processor and an RF unit. Here, the processor is configured to determine a contention window (CW) size based on the number of terminals connected to the access point, and transmit information on the contention window size to any one of the plurality of terminals through the RF unit.",2020-01-14,utility
10536389,Biased selection of dedicated physical connections to provider network,"A connectivity coordinator may receive a request for a dedicated physical connection between a provider network and a client network. In response, the connectivity coordinator may determine a capacity for each connection capacity group available to accept the dedicated physical connection. The connectivity coordinator may use the determined capacities for each available connection capacity group to determine bias response information for each connection capacity group based on the determined capacities and a capacity bias model. The connectivity coordinator may provide the determined bias response information to the client as part of a response to the connectivity request to influence the client to select to connect to a connection capacity group that has more physical ports available to accept the dedicated physical connection than other connection capacity groups that have less ports available to accept the dedicated physical connection.",2020-01-14,utility
10536391,Systems and methods for intelligently directing a service request to a preferred place of execution,"System and methods for intelligently directing a service request to a preferred place of execution. The services, which are executed by a unified client-server system, may be microservices associated with a microservice architecture, or other services in which a first entity sends a request to another entity to execute a certain service needed by the first entity. The unified client-server system may decide which services to execute on which of a plurality of different kinds of devices located in a variety of places. The decision may affect service request latency, network bandwidth, power consumption, and may optimize the task of transporting associated data components between the different entities in the system. The unified client-server system may be abstracted via a certain interface, such that the actual execution place of each of the services is controlled by the system and not necessarily by the requesting entity.",2020-01-14,utility
10536393,"Mail obtaining method, terminal, and system","A method resolves a problem of a slow mail downloading speed caused by a fact that an existing dual-mode dual-pass terminal cannot effectively utilize a network resource. The method includes obtaining a first transmission rate of a first network connection and a second transmission rate of a second network connection, obtaining a new mail list from a mail server, where the new mail list includes identifiers (IDs) of N mails and a data size of each mail in the N mails, creating a first download task and a second download task according to a preset rule, the first transmission rate, the second transmission rate, and the new mail list such that download time of the N mails is the shortest, downloading a mail indicated by the first download task using the first network connection, and downloading a mail indicated by the second download task using the second network connection.",2020-01-14,utility
10536396,Techniques for dynamically allocating resources in a storage cluster system,"Various embodiments are directed to techniques for dynamically adjusting a maximum rate of throughput for accessing data stored within a volume of storage space of a storage cluster system based on the amount of that data that is stored within that volume. An apparatus includes an access component to monitor an amount of client data stored within a volume defined within a storage device coupled to a first node, and to perform a data access command received from a client device via a network to alter the client data stored within the volume; and a policy component to limit a rate of throughput at which at least the client data within the volume is exchanged as part of performance of the data access command to a maximum rate of throughput, and to calculate the maximum rate of throughput based on the stored amount.",2020-01-14,utility
10536397,Packet count-based object locking protocol,"Methods and system are disclosed that manage access to a logical object in software defined networks. In one aspect, managing access to the logical objects may include determining whether to retain or release a lock object on a corresponding logical object in the software defined network. The software defined network may receive multiple requests to access applications or logical objects. In response, a front-end engine may be instantiated. The front-end engine may communicate with a back-end engine to determine an availability of TCP communication ports, lock objects, etc., to access the requested logical objects. A network monitoring engine working in cooperation with the front-end engine and the back-end engine may receive the above information on the TCP communication ports, the lock objects, etc., and may determine whether to retain a lock object on a corresponding logical object or to release the lock object and the corresponding logical object.",2020-01-14,utility
10536398,Plug and play in a controller based network,"In an example, there is disclosed an example of a system and method for plug and play in a controller based network. Aspects of the embodiments are directed to a network switch of a fabric network, the network switch configured to detect a connection of a device to the network switch, the device compliant with a remote integrated services engine (RISE) protocol; receive, from the device, a programming instruction for switching compliant with the RISE protocol; and distribute the programming instruction to one or more other network switches of the fabric network.",2020-01-14,utility
10536399,Automatic multi-stage fabric generation for FPGAs,"Systems and methods to automatically or manually generate various multi-stage pyramid network based fabrics, either partially connected or fully connected, are disclosed by changing different parameters of multi-stage pyramid network including such as number of slices, number of rings, number of stages, number of switches, number of multiplexers, the size of the multiplexers in any switch, connections between stages of rings either between the same numbered stages (same level stages) or different numbered stages, single or multi-drop hop wires, hop wires of different hop lengths, hop wires outgoing to different directions, hop wires incoming from different directions, number of hop wires based on the number and type of inlet and outlet links of large scale sub-integrated circuit blocks. One or more parameters are changed in each iteration so that optimized fabrics are generated, at the end of iterations, to route a given set of benchmarks or designs having a specific connection requirements.",2020-01-14,utility
